idx,A000001,A000002,A000003,A000004,A000005,A000006,A000007,A000008,A000009,A000010,A000011,A000012,A000013,A000014,A000015 
0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0
3,1.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,4.0
4,2.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,5.0
5,1.0,2.0,2.0,0.0,4.0,3.0,0.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,7.0
6,2.0,1.0,1.0,0.0,2.0,4.0,0.0,5.0,4.0,6.0,8.0,1.0,8.0,2.0,7.0
7,1.0,2.0,2.0,0.0,4.0,4.0,0.0,6.0,5.0,4.0,9.0,1.0,10.0,2.0,8.0
8,5.0,2.0,2.0,0.0,3.0,4.0,0.0,7.0,6.0,6.0,18.0,1.0,20.0,4.0,9.0
9,2.0,1.0,2.0,0.0,4.0,5.0,0.0,8.0,8.0,4.0,23.0,1.0,30.0,5.0,11.0
10,2.0,2.0,3.0,0.0,2.0,5.0,0.0,11.0,10.0,10.0,44.0,1.0,56.0,10.0,11.0
11,1.0,2.0,2.0,0.0,6.0,6.0,0.0,12.0,12.0,4.0,63.0,1.0,94.0,14.0,13.0
12,5.0,1.0,2.0,0.0,2.0,6.0,0.0,15.0,15.0,12.0,122.0,1.0,180.0,26.0,13.0
13,1.0,1.0,4.0,0.0,4.0,6.0,0.0,16.0,18.0,6.0,190.0,1.0,316.0,42.0,16.0
14,2.0,2.0,2.0,0.0,4.0,6.0,0.0,19.0,22.0,8.0,362.0,1.0,596.0,78.0,16.0
15,1.0,1.0,2.0,0.0,5.0,7.0,0.0,22.0,27.0,8.0,612.0,1.0,1096.0,132.0,16.0
16,14.0,1.0,4.0,0.0,2.0,7.0,0.0,25.0,32.0,16.0,1162.0,1.0,2068.0,249.0,17.0
17,1.0,2.0,2.0,0.0,6.0,7.0,0.0,28.0,38.0,6.0,2056.0,1.0,3856.0,445.0,19.0
18,5.0,2.0,3.0,0.0,2.0,8.0,0.0,31.0,46.0,18.0,3914.0,1.0,7316.0,842.0,19.0
19,1.0,1.0,4.0,0.0,6.0,8.0,0.0,34.0,54.0,8.0,7155.0,1.0,13798.0,1561.0,23.0
20,5.0,2.0,4.0,0.0,4.0,8.0,0.0,40.0,64.0,12.0,13648.0,1.0,26272.0,2988.0,23.0
21,2.0,1.0,2.0,0.0,4.0,8.0,0.0,43.0,76.0,10.0,25482.0,1.0,49940.0,5671.0,23.0
22,2.0,1.0,3.0,0.0,2.0,9.0,0.0,49.0,89.0,22.0,48734.0,1.0,95420.0,10981.0,23.0
23,1.0,2.0,4.0,0.0,8.0,9.0,0.0,52.0,104.0,8.0,92205.0,1.0,182362.0,21209.0,25.0
24,15.0,1.0,2.0,0.0,3.0,9.0,0.0,58.0,122.0,20.0,176906.0,1.0,349716.0,41472.0,25.0
25,2.0,2.0,6.0,0.0,4.0,10.0,0.0,64.0,142.0,12.0,337594.0,1.0,671092.0,81181.0,27.0
26,2.0,2.0,3.0,0.0,4.0,10.0,0.0,70.0,165.0,18.0,649532.0,1.0,1290872.0,160176.0,27.0
27,5.0,1.0,2.0,0.0,6.0,10.0,0.0,76.0,192.0,12.0,1246863.0,1.0,2485534.0,316749.0,29.0
28,4.0,1.0,6.0,0.0,2.0,10.0,0.0,82.0,222.0,28.0,2405236.0,1.0,4794088.0,629933.0,29.0
29,1.0,2.0,4.0,0.0,8.0,10.0,0.0,88.0,256.0,8.0,4636390.0,1.0,9256396.0,1256070.0,31.0
30,4.0,1.0,3.0,0.0,2.0,11.0,0.0,98.0,296.0,30.0,8964800.0,1.0,17896832.0,2515169.0,31.0
31,1.0,1.0,4.0,0.0,6.0,11.0,0.0,104.0,340.0,16.0,17334801.0,1.0,34636834.0,5049816.0,32.0
32,51.0,2.0,4.0,0.0,4.0,11.0,0.0,114.0,390.0,20.0,33588234.0,1.0,67110932.0,10172638.0,37.0
33,1.0,1.0,4.0,0.0,4.0,11.0,0.0,120.0,448.0,16.0,65108062.0,1.0,130150588.0,20543579.0,37.0
34,2.0,2.0,6.0,0.0,4.0,12.0,0.0,130.0,512.0,24.0,126390032.0,1.0,252648992.0,41602425.0,37.0
35,1.0,2.0,4.0,0.0,9.0,12.0,0.0,140.0,585.0,12.0,245492244.0,1.0,490853416.0,84440886.0,37.0
36,14.0,1.0,2.0,0.0,2.0,12.0,0.0,150.0,668.0,36.0,477353376.0,1.0,NaN,171794492.0,37.0
37,1.0,2.0,6.0,0.0,4.0,12.0,0.0,160.0,760.0,18.0,928772650.0,1.0,NaN,350238175.0,41.0
38,2.0,2.0,4.0,0.0,4.0,12.0,0.0,170.0,864.0,24.0,1808676326.0,1.0,NaN,715497037.0,41.0
39,2.0,1.0,4.0,0.0,8.0,13.0,0.0,180.0,982.0,16.0,3524337980.0,1.0,NaN,1464407113.0,41.0
40,14.0,1.0,8.0,0.0,2.0,13.0,0.0,195.0,1113.0,40.0,NaN,1.0,NaN,NaN,41.0
41,1.0,2.0,4.0,0.0,8.0,13.0,0.0,205.0,1260.0,12.0,NaN,1.0,NaN,NaN,43.0
42,6.0,1.0,3.0,0.0,2.0,13.0,0.0,220.0,1426.0,42.0,NaN,1.0,NaN,NaN,43.0
43,1.0,2.0,6.0,0.0,6.0,13.0,0.0,230.0,1610.0,20.0,NaN,1.0,NaN,NaN,47.0
44,4.0,2.0,4.0,0.0,6.0,14.0,0.0,245.0,1816.0,24.0,NaN,1.0,NaN,NaN,47.0
45,2.0,1.0,4.0,0.0,4.0,14.0,0.0,260.0,2048.0,22.0,NaN,1.0,NaN,NaN,47.0
46,2.0,2.0,5.0,0.0,2.0,14.0,0.0,275.0,2304.0,46.0,NaN,1.0,NaN,NaN,47.0
47,1.0,1.0,4.0,0.0,10.0,14.0,0.0,290.0,2590.0,16.0,NaN,1.0,NaN,NaN,49.0
48,52.0,1.0,4.0,0.0,3.0,15.0,0.0,305.0,2910.0,42.0,NaN,1.0,NaN,NaN,49.0
49,2.0,2.0,6.0,0.0,6.0,15.0,0.0,320.0,3264.0,20.0,NaN,1.0,NaN,NaN,53.0
50,5.0,1.0,6.0,0.0,4.0,15.0,0.0,341.0,3658.0,32.0,NaN,1.0,NaN,NaN,53.0
51,1.0,1.0,4.0,0.0,6.0,15.0,0.0,356.0,4097.0,24.0,NaN,1.0,NaN,NaN,53.0
52,5.0,2.0,6.0,0.0,2.0,15.0,0.0,377.0,4582.0,52.0,NaN,1.0,NaN,NaN,53.0
53,1.0,2.0,6.0,0.0,8.0,15.0,0.0,392.0,5120.0,18.0,NaN,1.0,NaN,NaN,59.0
54,15.0,1.0,4.0,0.0,4.0,16.0,0.0,413.0,5718.0,40.0,NaN,1.0,NaN,NaN,59.0
55,2.0,2.0,8.0,0.0,8.0,16.0,0.0,434.0,6378.0,24.0,NaN,1.0,NaN,NaN,59.0
56,13.0,2.0,4.0,0.0,4.0,16.0,0.0,455.0,NaN,36.0,NaN,1.0,NaN,NaN,59.0
57,2.0,1.0,2.0,0.0,4.0,16.0,0.0,476.0,NaN,28.0,NaN,1.0,NaN,NaN,59.0
58,2.0,1.0,9.0,0.0,2.0,16.0,0.0,497.0,NaN,58.0,NaN,1.0,NaN,NaN,59.0
59,1.0,2.0,4.0,0.0,12.0,16.0,0.0,518.0,NaN,16.0,NaN,1.0,NaN,NaN,61.0
60,13.0,1.0,6.0,0.0,2.0,16.0,0.0,546.0,NaN,60.0,NaN,1.0,NaN,NaN,61.0
61,1.0,2.0,8.0,0.0,4.0,17.0,0.0,NaN,NaN,30.0,NaN,1.0,NaN,NaN,64.0
62,2.0,2.0,4.0,0.0,6.0,17.0,0.0,NaN,NaN,36.0,NaN,1.0,NaN,NaN,64.0
63,4.0,1.0,4.0,0.0,7.0,17.0,0.0,NaN,NaN,32.0,NaN,1.0,NaN,NaN,64.0
64,267.0,2.0,8.0,0.0,4.0,17.0,0.0,NaN,NaN,48.0,NaN,1.0,NaN,NaN,67.0
65,1.0,2.0,8.0,0.0,8.0,17.0,0.0,NaN,NaN,20.0,NaN,1.0,NaN,NaN,67.0
66,4.0,1.0,3.0,0.0,2.0,18.0,0.0,NaN,NaN,66.0,NaN,1.0,NaN,NaN,67.0
67,1.0,1.0,8.0,0.0,6.0,18.0,0.0,NaN,NaN,32.0,NaN,1.0,NaN,NaN,71.0
68,5.0,2.0,8.0,0.0,4.0,18.0,0.0,NaN,NaN,44.0,NaN,1.0,NaN,NaN,71.0
69,1.0,1.0,4.0,0.0,8.0,18.0,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,71.0
70,4.0,1.0,7.0,0.0,2.0,18.0,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,71.0
71,1.0,2.0,4.0,0.0,12.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,73.0
72,50.0,1.0,4.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
73,1.0,2.0,10.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
74,2.0,2.0,6.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
75,3.0,1.0,6.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
76,4.0,2.0,8.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
77,1.0,1.0,4.0,0.0,8.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
78,6.0,1.0,5.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
79,1.0,2.0,8.0,0.0,10.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
80,52.0,2.0,6.0,0.0,5.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
81,15.0,1.0,4.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
82,2.0,2.0,9.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
83,1.0,2.0,8.0,0.0,12.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
84,15.0,1.0,4.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
85,1.0,1.0,10.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
86,2.0,2.0,6.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
87,1.0,1.0,4.0,0.0,8.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
88,12.0,2.0,12.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
89,1.0,2.0,8.0,0.0,12.0,NaN,0.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN
90,10.0,1.0,6.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1.0,2.0,6.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,4.0,2.0,4.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,2.0,1.0,8.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,NaN,1.0,8.0,0.0,4.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,2.0,8.0,0.0,12.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,NaN,1.0,4.0,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,NaN,1.0,8.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,NaN,2.0,6.0,0.0,6.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,NaN,2.0,4.0,0.0,9.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,1.0,NaN,0.0,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,NaN,2.0,NaN,0.0,8.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,NaN,1.0,NaN,NaN,2.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,NaN,1.0,NaN,NaN,8.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,NaN,2.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,NaN,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,NaN,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
